datetime,AL,AT,BA,BE,BG,CH,CZ,DE,DK,EE,ES,FI,FR,UK,GR,HR,HU,IE,IT,LT,LU,LV,ME,MK,NL,NO,PL,PT,RO,RS,SE,SI,SK,KV,UK1,UK2,UK3,UK4,UK5,UK6,UK7,UK8,UK9,NO081,NO0A1,NO0A3,NO071,NO082,NO020,NO091,NO092,NO0A2,NO060,NO074
2010-01-01 00:00:00,1005.8,10649.4,2139.6,18037.6,6883.2,13946.6,12557.8,87194.4,6061.6,1780.4,45832.4,16219.713214725718,122329.8,66591.2,8516.8,3043.8,7805.4,6100.8,43522.4,1879.0,1198.0,1224.4,674.6,1815.4,19234.4,28472.4,29488.0,9225.4,9835.0,8266.2,35290.53754304645,2233.2,5518.2,1469.6,65.0,1105.2,5701.2,9543.2,7963.6,7664.6,24092.2,8873.8,1582.4,2218.2,2565.9,2499.6,2464.5,4494.4,1597.4,2226.5,1943.0,4676.4,2137.4,1649.2
2010-01-01 01:00:00,896.6,10453.8,2015.8,17430.8,6574.4,13660.8,12397.2,85711.6,5936.4,1752.4,43760.0,16021.300046997336,116917.0,64776.0,8061.8,2910.2,7357.0,5642.8,41576.0,1849.8,1221.2,1226.2,617.2,1618.4,18483.2,28108.3,28867.8,8575.8,9756.0,7565.2,35016.39060779442,2156.8,5346.0,1345.0,63.2,1075.0,5545.8,9283.2,7746.4,7455.6,23435.6,8631.8,1539.2,2189.8,2533.0,2467.7,2432.9,4436.8,1577.0,2198.0,1918.2,4616.6,2110.2,1628.1
2010-01-01 02:00:00,832.2,10265.0,1947.6,16886.2,6467.2,13472.0,12015.8,86480.0,5965.6,1764.0,41780.2,16183.815601487955,111745.8,61778.8,7894.4,2804.4,7206.2,5296.2,40848.8,1854.0,1178.6,1234.0,585.8,1502.2,18175.0,27960.6,28777.0,8282.4,9826.6,7151.8,34803.48063589011,2178.4,5315.8,1271.4,60.4,1025.2,5289.2,8853.6,7388.0,7110.6,22351.2,8232.4,1468.0,2178.4,2519.7,2454.7,2420.2,4413.5,1568.7,2186.4,1908.1,4592.4,2099.1,1619.6
2010-01-01 03:00:00,803.4,10707.6,1964.2,16952.8,6539.8,13226.8,12042.0,88538.2,6105.4,1817.6,41316.6,16723.931991458638,111415.6,59068.0,7927.6,2834.0,7329.0,5069.2,41202.2,1947.8,1203.8,1343.4,567.2,1450.0,18256.2,27986.2,29270.6,8077.2,10078.8,6962.2,35158.33058906397,2190.2,5443.2,1237.8,57.6,980.2,5057.2,8465.2,7063.8,6798.6,21370.4,7871.2,1403.6,2180.3,2522.1,2456.9,2422.4,4417.7,1570.1,2188.5,1909.8,4596.5,2101.0,1621.0
2010-01-01 04:00:00,814.6,11862.2,2106.2,17682.2,6569.6,13624.8,12646.0,92822.6,6547.8,2002.0,42355.8,17982.30104462169,116709.6,57178.6,8415.6,3016.0,7857.2,4979.4,43576.6,2260.6,1217.4,1583.2,576.4,1470.2,18948.2,28722.3,30323.4,8037.6,10557.6,7119.0,36624.16505277471,2392.0,5659.8,1265.6,55.8,949.0,4895.4,8194.4,6838.0,6581.2,20686.8,7619.4,1358.8,2237.7,2588.3,2521.6,2486.0,4533.7,1611.5,2246.1,1960.1,4717.5,2156.2,1663.6
2010-01-01 05:00:00,863.0,13289.4,2342.6,19197.0,7017.0,13825.0,13934.6,100814.2,7593.2,2282.0,45339.8,18938.018672370144,125590.0,58899.6,9097.4,3407.6,8887.6,5015.8,49746.2,2590.2,1275.4,1815.4,609.8,1557.8,20952.6,31030.8,34422.4,8165.4,11173.2,7623.6,39783.140721629294,2803.4,6054.6,1355.4,57.6,977.6,5042.8,8441.0,7043.8,6779.2,21309.6,7848.8,1399.6,2417.5,2796.3,2724.2,2685.9,4898.2,1740.9,2426.5,2117.6,5096.7,2329.6,1797.4
2010-01-01 06:00:00,881.8,14660.0,2652.8,20369.2,7727.0,13807.0,14715.4,111275.2,8907.8,2536.2,51057.2,19644.10519885851,134023.4,67564.6,9751.2,3606.2,9415.6,5388.2,57336.8,2848.6,1407.0,1965.2,661.8,1591.4,23953.4,33581.5,37217.6,8577.6,11701.2,8171.4,43067.02357400108,3197.2,6301.6,1452.8,66.0,1121.4,5784.6,9682.8,8080.0,7776.6,24444.4,9003.4,1605.6,2616.2,3026.3,2948.2,2906.7,5300.8,1884.0,2626.0,2291.6,5515.6,2521.1,1945.1
2010-01-01 07:00:00,953.6,15299.8,2926.0,21622.2,8410.4,14281.6,15086.6,117457.6,9581.8,2592.2,56173.6,19760.359394030173,137177.8,77774.6,10192.2,3851.2,9730.4,5989.4,64602.0,2950.8,1511.6,2022.8,728.4,1721.0,26946.8,34768.2,38451.6,9221.8,12229.2,8788.0,44914.473815925085,3226.6,6601.2,1562.4,76.0,1290.8,6658.8,11146.0,9301.0,8951.8,28138.4,10364.0,1848.2,2708.7,3133.2,3052.4,3009.4,5488.1,1950.6,2718.8,2372.6,5710.5,2610.2,2013.9
2010-01-01 08:00:00,1020.8,15679.0,3053.2,22139.6,8943.8,15041.8,15642.6,120674.4,9715.2,2634.2,60195.0,19568.85539035592,140882.8,85774.8,9681.4,4001.6,10040.8,6520.2,69698.6,3021.8,1583.2,2032.2,784.0,1842.4,28366.0,34951.2,39590.8,10706.6,12579.8,9099.8,45548.33721799451,3301.0,6868.4,1617.8,83.8,1423.6,7343.8,12292.6,10257.8,9872.6,31032.8,11430.0,2038.2,2722.9,3149.7,3068.4,3025.2,5517.0,1960.9,2733.1,2385.1,5740.5,2623.9,2024.5
2010-01-01 09:00:00,1054.4,15733.8,3081.0,22224.8,9069.2,15257.8,15929.6,123060.8,9863.4,2655.2,62661.6,19527.851003686843,142277.6,91079.2,9271.8,4023.8,10206.8,7061.4,70687.6,3051.0,1600.6,2034.2,804.4,1903.0,28977.0,34738.6,40156.2,11541.8,12695.2,9151.6,46221.132729212135,3285.2,6961.4,1627.0,89.0,1511.6,7797.8,13052.6,10892.0,10483.0,32951.8,12136.8,2164.2,2706.3,3130.5,3049.7,3006.8,5483.5,1949.0,2716.5,2370.5,5705.6,2608.0,2012.2
