"Year"	"AreaName"	"MapCode"	"ProductionType"	"AggregatedInstalledCapacity"	"NetGen_entsoe_powerstat"	"TSOs"	"JRC database"	"Geth et al."	"highRES_Europe"														"h"																												
2015	"Austria"	"AT"	"Hydro Run-of-river and poundage"	"5542.7"	"5,662.00"	"5542.7"			"5542.7"																																										
2015	"Austria"	"AT"	"Hydro Water Reservoir"	"2964.9"	"7,994.00"	"2964.9"			"2964.9"					"AL"	"AT"	"BA"	"BE"	"BG"	"CH"	"CY"	"CZ"	"DE"	"DK"	"EE"	"ES"	"FI"	"FR"	"UK"	"GR"	"HR"	"HU"	"IE"	"IS"	"IT"	"LI"	"LT"	"LU"	"LV"	"ME"	"MK"	"MT"	"NL"	"NO"	"PL"	"PT"	"RO"	"RS"	"SE"	"SI"	"SK"	"XK"
2015	"Austria"	"AT"	"Hydro Pumped Storage"	"2971.1"		"2971.1"			"2971.1"			"Hydro Water Reservoir"	"HydroRes"	0	"2964.9"	0	0	1566	"8208.06"	0	650	740	0	0	"18186.5"	1345	"8213.66"	0	2456	1388	28	0	1948	6362	0	0	11	0	0	0	0	0	23572	"156.17"	"1436.2"	3800	0	16184	222	414	0
2015	"Belgium"	"BE"	"Hydro Run-of-river and poundage"	"114.56"	116				"114.56"			"Hydro Run-of-river and poundage"	"HydroRoR"	0	"5542.7"	0	"114.56"	0	"4645.57"	0	440	4775	9	8	"1085.4"	3264	"10314.1"	"1874.56"	0	421	"28.74"	216	"24.6"	10719	0	128	25	1537	0	0	0	38	7552	"377.84"	2979	2670	0	0	1053	1203	0
2015	"Belgium"	"BE"	"Hydro Pumped Storage"	1308					1308			"Hydro Pumped Storage"	"PumpedHydro"	0	"2971.1"	0	1308	1399	"1757.69"	0	1175	8410	0	0	"4825.4"	0	4965	2744	693	281	0	292	0	4714	0	900	1291	0	0	0	0	0	1343	"1770.12"	"1245.2"	285	0	426	180	916	0
2015	"Belgium"	"BE"	"Hydro Water Reservoir"						0																																										
2015	"Bulgaria"	"BG"	"Hydro Water Reservoir"	1566	190				1566																																										
2015	"Bulgaria"	"BG"	"Hydro Run-of-river and poundage"		607				0																																										
2015	"Bulgaria"	"BG"	"Hydro Pumped Storage"	1399	"1,537.00"				1399																																										
2015	"Croatia"	"HR"	"Hydro Run-of-river and poundage"	421	"439.00"				421																																										
2015	"Croatia"	"HR"	"Hydro Water Reservoir"	1388	276				1388																																										
2015	"Croatia"	"HR"	"Hydro Pumped Storage"	281	"1,397.00"				281																																										
2015	"Cyprus"	"CY"	"Hydro Run-of-river and poundage"		"0.00"				0																																										
2015	"Cyprus"	"CY"	"Hydro Water Reservoir"		"0.00"				0																																										
2015	"Cyprus"	"CY"	"Hydro Pumped Storage"		"0.00"				0																																										
2015	"Czech Republic"	"CZ"	"Hydro Water Reservoir"	650					650																																										
2015	"Czech Republic"	"CZ"	"Hydro Run-of-river and poundage"	440	"1,081.00"				440																																										
2015	"Czech Republic"	"CZ"	"Hydro Pumped Storage"	1175					1175																																										
2015	"Denmark"	"DK"	"Hydro Water Reservoir"						0																																										
2015	"Denmark"	"DK"	"Hydro Run-of-river and poundage"	9	"7.58"				9																																										
2015	"Estonia"	"EE"	"Hydro Water Reservoir"	0					0																																										
2015	"Estonia"	"EE"	"Hydro Run-of-river and poundage"	8	"7.84"				8																																										
2015	"Estonia"	"EE"	"Hydro Pumped Storage"	0					0																																										
2015	"Finland"	"FI"	"Hydro Water Reservoir"				1345		1345																																										
2015	"Finland"	"FI"	"Hydro Run-of-river and poundage"	3264					3264																																										
2015	"Finland"	"FI"	"Hydro Pumped Storage"		"3,263.00"				0																																										
2015	"France"	"FR"	"Hydro Run-of-river and poundage"	"10314.1"	"21,008.00"	10314			"10314.1"																																										
2015	"France"	"FR"	"Hydro Water Reservoir"	"8213.66"	"2,455.00"	8214			"8213.66"																																										
2015	"France"	"FR"	"Hydro Pumped Storage"	4965		4965			4965																																										
2015	"Germany"	"DE"	"Hydro Water Reservoir"	740		1531			740																																										
2015	"Germany"	"DE"	"Hydro Run-of-river and poundage"	4775	"3,811.25"	3944			4775																																										
2015	"Germany"	"DE"	"Hydro Pumped Storage"	8410	"204.5"	9442			8410																																										
2015	"United Kingdom"	"UK"	"Hydro Water Reservoir"						0																																										
2015	"United Kingdom"	"UK"	"Hydro Run-of-river and poundage"		"1,516.22"	"1874.56"			"1874.56"																																										
2015	"United Kingdom"	"UK"	"Hydro Pumped Storage"		"2,744.00"	"2.744"			"2.744"																																										
2015	"Greece"	"GR"	"Hydro Water Reservoir"	2456	699				2456																																										
2015	"Greece"	"GR"	"Hydro Pumped Storage"	693	"2,470.00"				693																																										
2015	"Greece"	"GR"	"Hydro Run-of-river and poundage"						0																																										
2015	"Hungary"	"HU"	"Hydro Run-of-river and poundage"	"28.74"	28				"28.74"																																										
2015	"Hungary"	"HU"	"Hydro Water Reservoir"	28					28																																										
2015	"Hungary"	"HU"	"Hydro Pumped Storage"		29				0																																										
2015	"Ireland"	"IE"	"Hydro Run-of-river and poundage"	216					216																																										
2015	"Ireland"	"IE"	"Hydro Pumped Storage"	292	242				292																																										
2015	"Ireland"	"IE"	"Hydro Water Reservoir"						0																																										
2015	"Italy"	"IT"	"Hydro Run-of-river and poundage"	10719	"12,332.00"				10719																																										
2015	"Italy"	"IT"	"Hydro Water Reservoir"	6362	"3,409.00"				6362																																										
2015	"Iceland"	"IS"	"Hydro Pumped Storage"						0																																										
2015	"Iceland"	"IS"	"Hydro Water Reservoir"		"1,948.00"				1948																																										
2015	"Iceland"	"IS"	"Hydro Run-of-river and poundage"		"24.60"				"24.6"																																										
2015	"Italy"	"IT"	"Hydro Pumped Storage"	4714	"4,690.00"				4714																																										
2015	"Latvia"	"LV"	"Hydro Water Reservoir"	0					0																																										
2015	"Latvia"	"LV"	"Hydro Run-of-river and poundage"	1537	"1,578.00"				1537																																										
2015	"Lithuania"	"LT"	"Hydro Run-of-river and poundage"	128	126				128																																										
2015	"Lithuania"	"LT"	"Hydro Water Reservoir"						0																																										
2015	"Lithuania"	"LT"	"Hydro Pumped Storage"	900					900																																										
2015	"Luxembourg"	"LU"	"Hydro Water Reservoir"	11					11																																										
